top - 20:38:40 up 1 day,  7:54,  6 users,  load average: 0.05, 0.09, 0.13
Tasks: 162 total,   1 running, 161 sleeping,   0 stopped,   0 zombie
Cpu(s):  0.7%us,  0.8%sy,  0.0%ni, 98.0%id,  0.4%wa,  0.0%hi,  0.1%si,  0.0%st
Mem:   1538040k total,  1432476k used,   105564k free,   431888k buffers
Swap:  2097148k total,    66472k used,  2030676k free,    98792k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                                          
 1305 root      20   0  255m 106m 6472 S    2  7.1   9:52.34 Xorg                                                                                             
 4400 haya      20   0  563m  26m 8632 S    2  1.8   3:33.73 gnome-terminal                                                                                   
13197 haya      20   0  459m  53m  17m S    2  3.5   0:03.83 evince                                                                                           
13626 haya      20   0 19352 1328  948 R    2  0.1   0:00.01 top                                                                                              
    1 root      20   0 24148 1808 1044 S    0  0.1   0:02.32 init                                                                                             
    2 root      20   0     0    0    0 S    0  0.0   0:00.25 kthreadd                                                                                         
    3 root      20   0     0    0    0 S    0  0.0   0:06.76 ksoftirqd/0                                                                                      
    5 root      20   0     0    0    0 S    0  0.0   0:03.19 kworker/u:0                                                                                      
    6 root      RT   0     0    0    0 S    0  0.0   0:00.00 migration/0                                                                                      
    7 root      RT   0     0    0    0 S    0  0.0   0:00.00 migration/1                                                                                      
    9 root      20   0     0    0    0 S    0  0.0   0:06.54 ksoftirqd/1                                                                                      
   11 root       0 -20     0    0    0 S    0  0.0   0:00.00 cpuset                                                                                           
   12 root       0 -20     0    0    0 S    0  0.0   0:00.00 khelper                                                                                          
   13 root       0 -20     0    0    0 S    0  0.0   0:00.00 netns                                                                                            
   14 root      20   0     0    0    0 S    0  0.0   0:02.30 kworker/u:1                                                                                      
   15 root      20   0     0    0    0 S    0  0.0   0:00.36 sync_supers                                                                                      
   16 root      20   0     0    0    0 S    0  0.0   0:00.01 bdi-default                                                                                      
   17 root       0 -20     0    0    0 S    0  0.0   0:00.00 kintegrityd                                                                                      
   18 root       0 -20     0    0    0 S    0  0.0   0:00.00 kblockd                                                                                          
   19 root       0 -20     0    0    0 S    0  0.0   0:00.00 kacpid                                                                                           
   20 root       0 -20     0    0    0 S    0  0.0   0:00.00 kacpi_notify                                                                                     
   21 root       0 -20     0    0    0 S    0  0.0   0:00.00 kacpi_hotplug                                                                                    
   22 root       0 -20     0    0    0 S    0  0.0   0:00.00 ata_sff                                                                                          
   23 root      20   0     0    0    0 S    0  0.0   0:00.00 khubd                                                                                            
   24 root       0 -20     0    0    0 S    0  0.0   0:00.00 md                                                                                               
   27 root      20   0     0    0    0 S    0  0.0   0:00.13 khungtaskd                                                                                       
